x,y,z
0.077539004,-0.15840538,-0.3474346
0.05087234,-0.1578924,-0.34666666
0.026666667,-0.15466341,-0.37333336
0.13333334,-0.15816015,-0.34977913
0.10666667,-0.15656553,-0.37410125
0.21333334,-0.1583858,-0.35050622
0.18666668,-0.15654594,-0.37567785
0.29333332,-0.15839109,-0.35132048
0.26666668,-0.15677688,-0.37482834
0.053333335,-0.15402804,-0.42666668
0.026666667,-0.15165898,-0.45333335
0.12374031,-0.15885164,-0.47278464
0.13333334,-0.15701178,-0.44611797
0.10666667,-0.15541716,-0.42666668
0.21333334,-0.15654594,-0.41293663
0.18666668,-0.15816015,-0.43238792
0.29333332,-0.15677688,-0.40834427
0.26666668,-0.1583858,-0.4212809
0.3313516,-0.15839109,-0.40834427
0.053333335,-0.15488796,-0.48565716
0.026666667,-0.15603633,-0.4982684
0.09707365,-0.15885164,-0.48565716
0.026666667,-0.1647038,-0.52493507
0.053333335,-0.16914928,-0.53899044
0.09707365,-0.16444547,-0.5123238
0.12374031,-0.16541885,-0.50666666
0.13333334,-0.1696817,-0.53333336
0.21333334,-0.16740055,-0.50666666
0.18666668,-0.16920744,-0.53333336
0.29333332,-0.17349449,-0.50666666
0.26666668,-0.17269927,-0.53333336
0.37333336,-0.17709582,-0.50666666
0.34666666,-0.17789058,-0.53333336
0.45333335,-0.17944813,-0.50666666
0.42666668,-0.1804586,-0.53333336
0.053333335,-0.17709132,-0.58666664
0.026666667,-0.17987682,-0.61333334
0.13333334,-0.17622459,-0.58666664
0.10666667,-0.17990379,-0.61333334
0.21333334,-0.17555195,-0.58666664
0.18666668,-0.179097,-0.61333334
0.29333332,-0.17726967,-0.58666664
0.26666668,-0.17831545,-0.61333334
0.37333336,-0.1802916,-0.58666664
0.34666666,-0.18046589,-0.61333334
0.45333335,-0.18251409,-0.58666664
0.42666668,-0.18155234,-0.61333334
0.53333336,-0.18285309,-0.58666664
0.50666666,-0.18302876,-0.61333334
0.61333334,-0.18244411,-0.58666664
0.58666664,-0.18206446,-0.61333334
-4.01353,0.07551534,-3.9914706
-4.0266666,0.48149908,-4.23102
-4.0533333,0.4818864,-4.234961
-3.9466667,0.48275268,-4.227858
-3.9733334,0.48425177,-4.236059
-3.9129589,0.48275268,-4.2317986
-4.1066666,0.49091253,-4.266667
-4.133333,0.49473932,-4.2933335
-4.0266666,0.48932642,-4.266667
-4.0533333,0.49337065,-4.2933335
-3.9557772,0.48744002,-4.3042207
-3.9466667,0.49019268,-4.277554
-3.9733334,0.4916918,-4.266667
-3.9129589,0.48275268,-4.2508874
-3.9824438,0.5007071,-4.346667
-3.9644687,0.49326706,-4.3733335
1.5966197,-0.0009049916,-2.1579568
1.6039617,-0.0009049924,-2.1579568
1.5175999,-0.002619072,-2.232263
1.5432864,-0.002619071,-2.2055967
1.569953,-0.0035240625,-2.1866667
1.5733334,-0.0050940686,-2.2133334
1.6306285,-0.0009049924,-2.1764977
1.6533334,-0.0039939117,-2.2031646
1.6266667,-0.005563919,-2.2133334
1.6961308,-0.0030889194,-2.2298312
1.5126595,-0.0052824924,-2.2933333
1.5175999,-0.007901564,-2.2666667
1.5733334,-0.010328782,-2.2666667
1.5466667,-0.01404127,-2.2933333
1.6533334,-0.009813675,-2.2666667
1.6266667,-0.012864458,-2.2933333
1.7227975,-0.0030889194,-2.2472763
1.7333333,-0.007825717,-2.2739427
1.7066667,-0.012980468,-2.2933333
1.7866666,-0.004736799,-2.2985628
1.8133334,-0.0063476074,-2.317953
1.842933,-0.0016108099,-2.317953
1.5114971,-0.0038671421,-2.3733335
1.5150596,-0.009149634,-2.3466666
1.5733334,-0.020982198,-2.3466666
1.5466667,-0.018709637,-2.3733335
1.6533334,-0.019124622,-2.3466666
1.6266667,-0.023529872,-2.3733335
1.7333333,-0.020056343,-2.3466666
1.7066667,-0.023149716,-2.3733335
1.8133334,-0.015314805,-2.3466666
1.7866666,-0.023868794,-2.3733335
1.8695996,-0.0016108099,-2.3378482
1.8933334,-0.007325977,-2.3645148
1.8666667,-0.016293176,-2.3733335
1.5164376,-0.0038671421,-2.414786
1.5523071,-0.009530606,-2.4681194
1.5466667,-0.013397749,-2.441453
1.5733334,-0.02295775,-2.4266667
1.6533334,-0.034209028,-2.4266667
1.6266667,-0.035909466,-2.4533334
1.7333333,-0.027541308,-2.4266667
1.7066667,-0.03419537,-2.4533334
1.8133334,-0.038415696,-2.4266667
1.7866666,-0.038994838,-2.4533334
1.8933334,-0.031549428,-2.4266667
1.8666667,-0.045117963,-2.4533334
1.5669987,-0.006019801,-2.5333333
1.5789738,-0.015550407,-2.5066667
1.6533334,-0.04299236,-2.5066667
1.6266667,-0.0321933,-2.5333333
1.7567216,-0.009546339,-2.5283334
1.7300549,-0.026189234,-2.5333333
1.7066667,-0.043008097,-2.5066667
1.7866666,-0.028830046,-2.5016668
1.8133334,-0.019283703,-2.5162737
1.8666667,-0.03615077,-2.494607
1.8716015,-0.04353373,-2.5212736
1.8575808,-0.026666667,-2.5479403
1.8982682,-0.0702004,-2.517423
1.8982682,-0.0852327,-2.5440896
2.8664107,-0.15442884,-3.9180243
2.8824506,-0.15442884,-3.9180243
2.7833269,-0.2188433,-3.9054449
2.8130772,-0.19217664,-3.9054449
2.839744,-0.18666668,-3.903469
2.8441265,-0.21333334,-3.8768022
2.870793,-0.21027075,-3.8646908
2.935822,-0.23967464,-3.8931282
2.9091551,-0.23661205,-3.8666668
2.909117,-0.20994537,-3.8933334
2.8824506,-0.18360408,-3.8913574
3.0309796,-0.23614226,-3.8443174
2.9600778,-0.23967464,-3.9197948
2.7088437,-0.29599762,-3.8493097
2.7717502,-0.26666668,-3.9054449
2.761757,-0.26933095,-3.878778
2.7733333,-0.2465536,-3.8521113
2.7350903,-0.29599762,-3.875976
2.8174596,-0.2438893,-3.8521113
2.6133335,-0.3807206,-3.897602
2.5866668,-0.3780448,-3.9186664
2.7088437,-0.32979155,-3.8493097
2.654995,-0.3807206,-3.898936
2.761757,-0.33300304,-3.9026427
2.746667,-0.3427946,-3.875976
2.7733333,-0.35823345,-3.8666668
2.8446138,-0.38633636,-3.9063873
2.8533335,-0.37814376,-3.8797204
2.8266668,-0.36691597,-3.8666668
2.585372,-0.469378,-3.853513
2.6032927,-0.45333335,-3.8941295
2.6133335,-0.42666668,-3.8730657
2.5766258,-0.42868096,-3.9186664
2.6713507,-0.42666668,-3.898936
2.6563556,-0.45333335,-3.8743994
2.8712804,-0.4110997,-3.9063873
2.9066668,-0.4110997,-3.9055474
2.9333334,-0.41275328,-3.9191601
2.9607677,-0.40165356,-3.9191601
2.6563556,-0.4960874,-3.8954635
2.6547675,-0.5356651,-3.8554516
2.6547675,-0.58666664,-3.8674023
2.6670756,-0.61333334,-3.8519506
2.7192578,-0.6324622,-3.919218
2.7222588,-0.6324622,-3.919218
2.7918718,-0.07229975,-3.9887297
2.8533335,-0.06388601,-3.975888
2.8266668,-0.05618576,-3.9887297
2.9333334,-0.066643536,-3.9774072
2.9066668,-0.050529554,-3.987158
2.9794073,-0.066643536,-3.990249
2.7918718,-0.10666667,-3.9647386
2.7792163,-0.13333334,-3.9760091
2.839744,-0.15442884,-3.9226756
2.8533335,-0.12776217,-3.9365008
2.8266668,-0.10666667,-3.951897
2.8824506,-0.12776217,-3.933825
2.909117,-0.13333334,-3.9491427
